link,source_section,source_url,surrounding_text,download_link,dataset_identifier,data_repository,dataset_webpage,file_extension
http://www.ncbi.nlm.nih.gov/geo,data_availability_elements,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/http://www.ncbi.nlm.nih.gov/geo,,,,
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48026,data_availability_elements,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48026,,,,cgi?acc=GSE48026
https://ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48026,data_availability_elements,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/https://ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48026,,,,cgi?acc=GSE48026
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48053,data_availability_elements,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48053,,,,cgi?acc=GSE48053
https://ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48053,data_availability_elements,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/https://ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48053,,,,cgi?acc=GSE48053
http://www.pnas.org/lookup/suppl/doi:10.1073/pnas.1315399110/-/DCSupplemental,data_availability_elements,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/http://www.pnas.org/lookup/suppl/doi:10.1073/pnas.1315399110/-/DCSupplemental,,,,
,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,,GSE48026,Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48026,
,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,,GSE48053,Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48053,
https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/supp_110_38_15467__index.html,supplementary_data_elements,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3780877,,https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/3780877/bin/supp_110_38_15467__index.html,,,,html
